ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300750.SZ,20260121,48.05,50.38,46.83,49.05,48.07,0.98,2.0408,319631,1567799.89
300750.SZ,20260122,48.83,48.99,47.34,48.28,49.05,-0.77,-1.5632,947805,4576340.68
300750.SZ,20260123,48.5,48.95,46.6,46.66,48.28,-1.63,-3.3666,429679,2004798.5
300750.SZ,20260124,44.1,48.47,41.74,47.15,46.66,0.49,1.0496,838547,3953561.98
300750.SZ,20260125,46.49,47.7,46.32,47.52,47.15,0.37,0.7858,740370,3518107.39
300750.SZ,20260126,44.99,47.3,42.93,46.9,47.52,-0.61,-1.2911,912532,4280204.17
300750.SZ,20260127,47.47,48.87,44.09,45.48,46.9,-1.43,-3.0404,413018,1878348.71
300750.SZ,20260128,43.73,46.96,42.12,44.98,45.48,-0.5,-1.0906,424451,1909291.64
300750.SZ,20260129,41.52,44.44,41.12,43.96,44.98,-1.02,-2.2693,330539,1453110.06
300750.SZ,20260130,46.39,46.95,43.58,44.88,43.96,0.91,2.0774,804021,3608050.61
300750.SZ,20260131,45.16,46.24,44.68,45.59,44.88,0.72,1.6002,802456,3658649.89
300750.SZ,20260201,44.76,47.43,42.7,46.95,45.59,1.36,2.973,616785,2895720.22
300750.SZ,20260202,44.83,48.62,44.36,46.29,46.95,-0.66,-1.4106,442377,2047602.25
300750.SZ,20260203,48.74,51.44,42.26,46.19,46.29,-0.1,-0.2099,766688,3541269.4
300750.SZ,20260204,47.95,48.56,46.54,46.94,46.19,0.75,1.6149,759843,3566329.23
300750.SZ,20260205,45.14,47.5,43.47,47.38,46.94,0.44,0.947,960131,4549057.04
300750.SZ,20260206,43.93,48.69,42.0,47.92,47.38,0.54,1.1407,762859,3655620.7
300750.SZ,20260207,44.91,48.45,42.57,47.72,47.92,-0.2,-0.4137,353628,1687575.21
300750.SZ,20260208,44.07,47.74,42.06,46.83,47.72,-0.89,-1.8615,553323,2591399.91
300750.SZ,20260209,46.37,49.15,45.46,46.35,46.83,-0.48,-1.0274,433290,2008396.01
300750.SZ,20260210,47.18,49.31,44.34,46.04,46.35,-0.31,-0.6757,597542,2751024.84
300750.SZ,20260211,45.0,47.95,43.21,46.72,46.04,0.68,1.4774,361695,1689810.31
300750.SZ,20260212,47.97,51.17,46.98,47.26,46.72,0.54,1.1655,566340,2676734.67
300750.SZ,20260213,48.18,48.84,46.51,47.66,47.26,0.4,0.8368,544635,2595690.16
300750.SZ,20260214,45.1,47.96,44.77,45.97,47.66,-1.69,-3.5382,982957,4518947.45
300750.SZ,20260215,43.34,44.73,42.82,44.22,45.97,-1.75,-3.8145,809394,3579087.03
300750.SZ,20260216,42.96,44.37,42.85,44.03,44.22,-0.18,-0.4173,674832,2971611.57
300750.SZ,20260217,43.19,45.46,43.05,44.08,44.03,0.05,0.1103,847832,3737534.04
300750.SZ,20260218,44.18,44.36,42.54,43.43,44.08,-0.65,-1.4854,928566,4032634.47
300750.SZ,20260219,43.9,45.0,41.53,42.91,43.43,-0.52,-1.1887,313384,1344806.12
