ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000333.SZ,20260121,49.71,51.18,48.15,48.78,47.81,0.98,2.0408,996862,4862998.29
000333.SZ,20260122,51.66,52.69,48.13,49.64,48.78,0.86,1.7616,483066,2398056.87
000333.SZ,20260123,51.76,52.58,45.95,48.2,49.64,-1.44,-2.9023,606702,2924403.14
000333.SZ,20260124,48.14,48.99,46.56,46.84,48.2,-1.36,-2.8291,972524,4555105.62
000333.SZ,20260125,46.07,48.11,45.84,46.42,46.84,-0.42,-0.8915,505352,2345865.64
000333.SZ,20260126,46.7,48.63,45.89,47.5,46.42,1.08,2.3334,732054,3477519.41
000333.SZ,20260127,49.85,51.42,48.06,48.22,47.5,0.72,1.5159,620495,2992257.67
000333.SZ,20260128,50.74,51.72,47.01,47.46,48.22,-0.76,-1.5834,640565,3040132.07
000333.SZ,20260129,46.64,49.67,45.29,48.42,47.46,0.96,2.0184,975091,4721206.66
000333.SZ,20260130,49.85,50.71,47.52,48.08,48.42,-0.34,-0.699,481770,2316333.85
000333.SZ,20260131,52.09,53.55,47.13,48.94,48.08,0.86,1.7944,466691,2284098.81
000333.SZ,20260201,47.84,49.4,47.72,49.36,48.94,0.42,0.8617,735333,3629910.4
000333.SZ,20260202,49.41,51.71,46.89,50.22,49.36,0.86,1.7334,982132,4932251.95
000333.SZ,20260203,52.04,52.16,50.95,51.3,50.22,1.08,2.1454,560346,2874422.57
000333.SZ,20260204,49.62,52.7,49.28,50.23,51.3,-1.07,-2.085,810329,4070098.98
000333.SZ,20260205,47.86,51.28,46.84,50.4,50.23,0.17,0.3416,976303,4920500.02
000333.SZ,20260206,49.87,50.17,49.0,49.2,50.4,-1.2,-2.3768,745339,3667175.22
000333.SZ,20260207,50.04,51.24,46.71,48.16,49.2,-1.04,-2.1129,673926,3245753.12
000333.SZ,20260208,50.02,51.34,45.57,47.53,48.16,-0.63,-1.3158,450902,2143054.69
000333.SZ,20260209,48.51,48.67,47.1,47.72,47.53,0.19,0.4053,695017,3316676.82
000333.SZ,20260210,49.39,51.74,45.63,46.31,47.72,-1.41,-2.9578,463805,2147849.69
000333.SZ,20260211,46.53,47.25,41.8,46.25,46.31,-0.05,-0.1181,411747,1904520.81
000333.SZ,20260212,42.82,46.08,41.98,45.19,46.25,-1.06,-2.3005,502975,2272971.4
000333.SZ,20260213,44.67,45.17,41.83,45.02,45.19,-0.17,-0.3723,310051,1395920.41
000333.SZ,20260214,44.06,47.64,40.36,46.27,45.02,1.24,2.7631,418970,1938418.51
000333.SZ,20260215,48.05,48.12,47.18,47.47,46.27,1.21,2.6101,855069,4059346.21
000333.SZ,20260216,48.62,53.43,46.99,47.35,47.47,-0.12,-0.2558,593466,2810209.08
000333.SZ,20260217,48.14,50.63,45.73,48.81,47.35,1.46,3.0859,551272,2690963.45
000333.SZ,20260218,51.75,52.46,48.48,48.77,48.81,-0.04,-0.0888,668057,3258138.0
000333.SZ,20260219,47.6,51.0,44.15,46.94,48.77,-1.83,-3.7529,494238,2319955.88
