ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600036.SH,20260121,49.17,51.66,48.7,49.7,48.7,0.99,2.0408,541117,2689083.4
600036.SH,20260122,50.87,52.47,48.07,50.52,49.7,0.83,1.6675,310393,1568220.91
600036.SH,20260123,53.19,54.06,52.09,53.08,50.52,2.56,5.0668,840257,4460390.87
600036.SH,20260124,52.26,55.65,50.25,54.48,53.08,1.39,2.6236,665934,3627766.27
600036.SH,20260125,53.16,56.06,51.48,55.49,54.48,1.01,1.8631,537768,2984144.48
600036.SH,20260126,53.82,57.26,53.16,55.02,55.49,-0.47,-0.8522,766411,4216671.71
600036.SH,20260127,53.62,55.98,52.84,55.97,55.02,0.95,1.7284,722512,4043852.33
600036.SH,20260128,56.96,57.54,55.35,56.07,55.97,0.1,0.1866,858663,4814849.91
600036.SH,20260129,55.37,57.88,54.8,55.59,56.07,-0.48,-0.8591,939446,5222572.77
600036.SH,20260130,51.18,58.12,50.33,55.46,55.59,-0.13,-0.2417,404744,2244617.26
600036.SH,20260131,54.75,56.45,53.07,55.42,55.46,-0.04,-0.0739,590532,3272534.44
600036.SH,20260201,59.03,59.08,53.71,55.19,55.42,-0.23,-0.4087,344673,1902258.47
600036.SH,20260202,52.33,56.27,51.33,54.24,55.19,-0.95,-1.7235,484474,2627739.32
600036.SH,20260203,55.7,55.93,54.65,55.01,54.24,0.77,1.4162,963829,5301746.73
600036.SH,20260204,56.15,56.92,52.94,54.63,55.01,-0.37,-0.681,482246,2634633.2
600036.SH,20260205,55.02,56.51,53.38,54.35,54.63,-0.28,-0.5148,528592,2872967.34
600036.SH,20260206,54.71,54.91,51.35,53.02,54.35,-1.33,-2.4541,397148,2105578.46
600036.SH,20260207,53.0,53.11,51.28,52.15,53.02,-0.87,-1.6339,597048,3113677.46
600036.SH,20260208,54.96,56.15,51.73,53.21,52.15,1.06,2.0257,517331,2752594.87
600036.SH,20260209,54.19,57.18,49.61,53.22,53.21,0.01,0.0249,307389,1635950.07
600036.SH,20260210,52.53,53.45,52.34,53.03,53.22,-0.19,-0.3587,871619,4622188.64
600036.SH,20260211,51.72,51.83,50.99,51.83,53.03,-1.2,-2.2624,457721,2372376.94
600036.SH,20260212,49.97,54.58,48.89,53.08,51.83,1.25,2.4065,990478,5257207.33
600036.SH,20260213,53.99,56.28,53.06,53.31,53.08,0.24,0.4459,472333,2518202.08
600036.SH,20260214,51.03,53.54,50.22,51.95,53.31,-1.37,-2.5658,470501,2444073.88
600036.SH,20260215,49.68,52.88,47.65,52.1,51.95,0.16,0.3028,505617,2634440.19
600036.SH,20260216,49.48,53.54,48.34,52.66,52.1,0.55,1.0637,729389,3840796.37
600036.SH,20260217,48.14,51.79,46.29,51.75,52.66,-0.91,-1.73,554775,2870779.06
600036.SH,20260218,48.11,52.68,47.08,51.66,51.75,-0.09,-0.1658,908746,4694667.84
600036.SH,20260219,50.63,52.24,47.84,51.52,51.66,-0.14,-0.2688,489737,2523227.21
