ts_code,trade_date,open,high,low,close,vol,amount
000001.SZ,20251026,50.21,52.25,43.43,47.72,2038611,9920609.54
000001.SZ,20251102,46.23,50.59,43.06,48.83,4772177,22955883.81
000001.SZ,20251109,49.94,55.42,44.89,48.16,4477947,21933748.71
000001.SZ,20251116,49.47,50.35,39.97,45.08,4341487,19669002.72
000001.SZ,20251123,44.55,52.04,42.93,48.38,4284912,20002171.14
000001.SZ,20251130,46.21,52.47,45.05,49.42,4583269,22415734.78
000001.SZ,20251207,51.18,54.2,44.97,51.06,3967742,20185051.56
000001.SZ,20251214,50.06,54.43,48.75,53.8,4611033,24436434.310000002
000001.SZ,20251221,54.15,58.56,47.31,55.65,4321444,23167055.5
000001.SZ,20251228,53.64,60.85,51.79,55.55,5280395,29284441.61
000001.SZ,20260104,55.89,60.73,51.37,57.03,5294897,29425543.28
000001.SZ,20260111,54.06,56.07,46.86,50.46,4427564,22623930.43
000001.SZ,20260118,52.36,58.0,49.09,55.67,4341148,23513814.330000002
000001.SZ,20260125,52.85,62.32,49.91,53.95,4938885,27039811.61
000001.SZ,20260201,55.58,57.37,49.57,54.41,4199651,22267583.36
000001.SZ,20260208,55.15,58.14,49.78,54.45,4265695,23171325.1
000001.SZ,20260215,57.37,58.46,50.34,52.57,4570785,24367082.330000002
000001.SZ,20260219,54.21,58.59,51.06,54.3,2413265,13194053.06
