ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20260121,54.45,55.58,49.61,50.8,49.78,1.02,2.0408,453641,2304464.47
002594.SZ,20260122,53.66,55.44,52.55,52.92,50.8,2.12,4.1818,860929,4556347.25
002594.SZ,20260123,52.71,54.29,49.66,52.12,52.92,-0.81,-1.5229,510505,2660631.1
002594.SZ,20260124,55.31,55.36,51.78,53.65,52.12,1.53,2.9357,529305,2839597.31
002594.SZ,20260125,50.82,53.55,49.12,53.12,53.65,-0.53,-0.9908,816363,4336202.81
002594.SZ,20260126,53.3,54.86,51.71,53.02,53.12,-0.1,-0.1792,405994,2152618.41
002594.SZ,20260127,58.95,60.45,52.65,53.32,53.02,0.3,0.5602,803675,4285031.11
002594.SZ,20260128,61.21,63.18,53.03,54.14,53.32,0.82,1.5404,829173,4489081.14
002594.SZ,20260129,50.95,55.26,50.1,53.03,54.14,-1.11,-2.0496,880896,4671358.2
002594.SZ,20260130,50.94,53.32,50.4,51.43,53.03,-1.6,-3.0228,942551,4847224.25
002594.SZ,20260131,50.3,52.85,48.3,51.53,51.43,0.11,0.2104,574883,2962650.32
002594.SZ,20260201,50.35,52.24,46.66,50.85,51.53,-0.69,-1.3299,344115,1749806.87
002594.SZ,20260202,52.23,53.59,50.99,51.96,50.85,1.11,2.1789,644153,3346855.37
002594.SZ,20260203,52.8,53.0,52.33,52.41,51.96,0.45,0.8622,976492,5117349.34
002594.SZ,20260204,51.76,51.87,51.12,51.7,52.41,-0.71,-1.3458,983218,5083252.9
002594.SZ,20260205,52.1,52.46,51.13,51.99,51.7,0.29,0.5657,670361,3485382.37
002594.SZ,20260206,49.41,51.85,48.33,51.76,51.99,-0.23,-0.4452,370223,1916316.53
002594.SZ,20260207,51.78,52.35,50.84,51.18,51.76,-0.58,-1.1248,852009,4360492.56
002594.SZ,20260208,53.78,54.3,50.17,52.65,51.18,1.47,2.8801,612884,3227013.85
002594.SZ,20260209,50.28,54.02,49.01,51.82,52.65,-0.83,-1.5799,624346,3235428.93
002594.SZ,20260210,49.83,52.37,49.17,50.78,51.82,-1.04,-2.0074,325078,1650772.75
002594.SZ,20260211,46.72,51.49,46.18,51.42,50.78,0.64,1.2595,313055,1609741.29
002594.SZ,20260212,46.55,49.91,45.13,49.73,51.42,-1.69,-3.2884,301846,1501065.06
002594.SZ,20260213,50.75,52.01,48.47,49.59,49.73,-0.14,-0.2744,593060,2941166.05
002594.SZ,20260214,49.58,52.16,49.32,49.94,49.59,0.34,0.6941,713586,3563454.69
002594.SZ,20260215,52.26,52.72,51.73,52.58,49.94,2.64,5.2883,593973,3122997.13
002594.SZ,20260216,48.78,52.49,48.68,51.64,52.58,-0.94,-1.7894,527955,2726213.98
002594.SZ,20260217,48.16,54.15,46.43,51.89,51.64,0.25,0.4808,692192,3591474.56
002594.SZ,20260218,49.67,53.26,48.65,52.62,51.89,0.73,1.4105,792328,4169021.6
002594.SZ,20260219,51.46,54.6,49.25,52.45,52.62,-0.17,-0.3268,805899,4226570.79
