ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20251026,1807.17,1831.99,1805.09,1831.35,2739429,498659461.03
600519.SH,20251102,1852.15,1863.35,1838.5,1860.91,4769868,884297844.37
600519.SH,20251109,1871.36,1873.31,1846.37,1846.84,4241249,788182251.31
600519.SH,20251116,1867.11,1870.35,1842.45,1843.58,3466478,645154593.21
600519.SH,20251123,1856.76,1866.89,1833.18,1844.12,4710745,871593462.7800001
600519.SH,20251130,1839.09,1840.11,1790.68,1804.26,4658867,846797034.82
600519.SH,20251207,1796.24,1804.13,1783.84,1787.36,4916640,883068564.4300001
600519.SH,20251214,1794.21,1815.43,1792.79,1800.03,4183201,754022028.23
600519.SH,20251221,1796.85,1834.91,1791.85,1830.88,4843651,878403705.75
600519.SH,20251228,1838.89,1839.95,1792.34,1793.65,5018512,912631362.3399999
600519.SH,20260104,1796.13,1851.08,1788.59,1850.46,4485243,814993231.84
600519.SH,20260111,1835.3,1845.55,1820.52,1821.27,5277665,969308669.72
600519.SH,20260118,1809.36,1810.92,1763.52,1763.57,4681318,832282792.01
600519.SH,20260125,1749.17,1782.01,1738.47,1772.16,4800410,845654523.39
600519.SH,20260201,1751.42,1757.8,1708.59,1712.91,4793665,829894698.51
600519.SH,20260208,1724.49,1725.16,1697.15,1706.41,4631626,793079779.01
600519.SH,20260215,1718.52,1734.03,1716.83,1723.42,3654367,630034300.4200001
600519.SH,20260219,1719.87,1725.4,1706.73,1721.52,2568294,440614443.38
